timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-18T12:25:51.618+07:00,postgres,0.02%,58.29MiB / 7.678GiB,0.74%
2026-08-18T12:25:51.618+07:00,kafka,5.96%,992.6MiB / 7.678GiB,12.62%
2026-08-18T12:25:54.876+07:00,spark,370.90%,4.95GiB / 7.678GiB,64.46%
2026-08-18T12:25:54.876+07:00,postgres,3.58%,58.21MiB / 7.678GiB,0.74%
2026-08-18T12:25:54.876+07:00,kafka,14.18%,991MiB / 7.678GiB,12.60%
2026-08-18T12:25:58.143+07:00,spark,341.29%,4.947GiB / 7.678GiB,64.42%
2026-08-18T12:25:58.143+07:00,postgres,7.44%,58.06MiB / 7.678GiB,0.74%
2026-08-18T12:25:58.143+07:00,kafka,4.49%,991MiB / 7.678GiB,12.60%
2026-08-18T12:26:02.876+07:00,spark,404.49%,4.945GiB / 7.678GiB,64.41%
2026-08-18T12:26:02.876+07:00,postgres,0.06%,58.32MiB / 7.678GiB,0.74%
2026-08-18T12:26:02.876+07:00,kafka,38.77%,991MiB / 7.678GiB,12.60%
2026-08-18T12:26:05.966+07:00,spark,174.52%,4.947GiB / 7.678GiB,64.42%
2026-08-18T12:26:05.966+07:00,postgres,1.31%,60.32MiB / 7.678GiB,0.77%
2026-08-18T12:26:05.966+07:00,kafka,4.84%,991MiB / 7.678GiB,12.60%
2026-08-18T12:26:09.007+07:00,spark,380.61%,4.946GiB / 7.678GiB,64.41%
2026-08-18T12:26:09.007+07:00,postgres,0.03%,58.1MiB / 7.678GiB,0.74%
2026-08-18T12:26:09.007+07:00,kafka,4.19%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:26:13.788+07:00,spark,199.37%,4.946GiB / 7.678GiB,64.42%
2026-08-18T12:26:13.788+07:00,postgres,50.01%,57.94MiB / 7.678GiB,0.74%
2026-08-18T12:26:13.788+07:00,kafka,46.69%,991MiB / 7.678GiB,12.60%
2026-08-18T12:26:18.278+07:00,spark,262.24%,4.946GiB / 7.678GiB,64.42%
2026-08-18T12:26:18.278+07:00,postgres,34.12%,58MiB / 7.678GiB,0.74%
2026-08-18T12:26:18.278+07:00,kafka,10.96%,991MiB / 7.678GiB,12.60%
2026-08-18T12:26:21.415+07:00,spark,408.30%,4.967GiB / 7.678GiB,64.68%
2026-08-18T12:26:21.415+07:00,postgres,0.05%,57.95MiB / 7.678GiB,0.74%
2026-08-18T12:26:21.415+07:00,kafka,9.63%,991MiB / 7.678GiB,12.60%
2026-08-18T12:26:24.719+07:00,spark,406.20%,5GiB / 7.678GiB,65.12%
2026-08-18T12:26:24.719+07:00,postgres,35.87%,58.25MiB / 7.678GiB,0.74%
2026-08-18T12:26:24.719+07:00,kafka,30.26%,991MiB / 7.678GiB,12.60%
2026-08-18T12:26:28.051+07:00,spark,291.03%,5.036GiB / 7.678GiB,65.59%
2026-08-18T12:26:28.051+07:00,postgres,3.46%,62.43MiB / 7.678GiB,0.79%
2026-08-18T12:26:28.051+07:00,kafka,6.42%,991MiB / 7.678GiB,12.60%
2026-08-18T12:26:31.453+07:00,spark,302.43%,5.045GiB / 7.678GiB,65.70%
2026-08-18T12:26:31.453+07:00,postgres,0.02%,58.09MiB / 7.678GiB,0.74%
2026-08-18T12:26:31.453+07:00,kafka,4.57%,991MiB / 7.678GiB,12.60%
2026-08-18T12:26:34.490+07:00,spark,353.70%,5.049GiB / 7.678GiB,65.75%
2026-08-18T12:26:34.490+07:00,postgres,12.33%,58.03MiB / 7.678GiB,0.74%
2026-08-18T12:26:34.490+07:00,kafka,4.63%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:26:37.674+07:00,spark,292.41%,5.058GiB / 7.678GiB,65.87%
2026-08-18T12:26:37.674+07:00,postgres,0.00%,58.05MiB / 7.678GiB,0.74%
2026-08-18T12:26:37.674+07:00,kafka,3.12%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:26:40.702+07:00,spark,379.28%,5.062GiB / 7.678GiB,65.92%
2026-08-18T12:26:40.702+07:00,postgres,0.02%,58.1MiB / 7.678GiB,0.74%
2026-08-18T12:26:40.702+07:00,kafka,2.14%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:26:43.747+07:00,spark,277.95%,5.062GiB / 7.678GiB,65.92%
2026-08-18T12:26:43.747+07:00,postgres,0.01%,58.03MiB / 7.678GiB,0.74%
2026-08-18T12:26:43.747+07:00,kafka,2.19%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:26:47.024+07:00,spark,353.77%,5.079GiB / 7.678GiB,66.15%
2026-08-18T12:26:47.024+07:00,postgres,0.01%,58.04MiB / 7.678GiB,0.74%
2026-08-18T12:26:47.024+07:00,kafka,2.82%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:26:50.087+07:00,spark,360.35%,5.079GiB / 7.678GiB,66.15%
2026-08-18T12:26:50.087+07:00,postgres,22.36%,58.27MiB / 7.678GiB,0.74%
2026-08-18T12:26:50.087+07:00,kafka,2.58%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:26:53.310+07:00,spark,380.03%,5.08GiB / 7.678GiB,66.16%
2026-08-18T12:26:53.310+07:00,postgres,6.83%,58.06MiB / 7.678GiB,0.74%
2026-08-18T12:26:53.310+07:00,kafka,17.60%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:26:57.005+07:00,spark,333.09%,5.078GiB / 7.678GiB,66.14%
2026-08-18T12:26:57.005+07:00,postgres,25.08%,58.09MiB / 7.678GiB,0.74%
2026-08-18T12:26:57.005+07:00,kafka,15.95%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:27:00.140+07:00,spark,311.86%,5.079GiB / 7.678GiB,66.15%
2026-08-18T12:27:00.140+07:00,postgres,10.28%,58.16MiB / 7.678GiB,0.74%
2026-08-18T12:27:00.140+07:00,kafka,37.63%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:27:03.085+07:00,spark,349.23%,5.079GiB / 7.678GiB,66.15%
2026-08-18T12:27:03.085+07:00,postgres,0.02%,57.96MiB / 7.678GiB,0.74%
2026-08-18T12:27:03.085+07:00,kafka,3.68%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:27:06.338+07:00,spark,328.10%,5.081GiB / 7.678GiB,66.18%
2026-08-18T12:27:06.338+07:00,postgres,12.04%,57.95MiB / 7.678GiB,0.74%
2026-08-18T12:27:06.338+07:00,kafka,2.59%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:27:09.376+07:00,spark,368.61%,5.081GiB / 7.678GiB,66.17%
2026-08-18T12:27:09.376+07:00,postgres,0.02%,58.07MiB / 7.678GiB,0.74%
2026-08-18T12:27:09.376+07:00,kafka,2.84%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:27:12.556+07:00,spark,281.73%,5.07GiB / 7.678GiB,66.03%
2026-08-18T12:27:12.556+07:00,postgres,0.00%,58.01MiB / 7.678GiB,0.74%
2026-08-18T12:27:12.556+07:00,kafka,3.03%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:27:15.782+07:00,spark,371.47%,5.071GiB / 7.678GiB,66.04%
2026-08-18T12:27:15.782+07:00,postgres,0.00%,58.17MiB / 7.678GiB,0.74%
2026-08-18T12:27:15.782+07:00,kafka,3.85%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:27:19.452+07:00,spark,386.07%,5.072GiB / 7.678GiB,66.06%
2026-08-18T12:27:19.452+07:00,postgres,0.01%,57.92MiB / 7.678GiB,0.74%
2026-08-18T12:27:19.452+07:00,kafka,4.49%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:27:24.732+07:00,spark,402.10%,5.071GiB / 7.678GiB,66.04%
2026-08-18T12:27:24.732+07:00,postgres,0.02%,57.98MiB / 7.678GiB,0.74%
2026-08-18T12:27:24.732+07:00,kafka,13.92%,991.1MiB / 7.678GiB,12.61%
2026-08-18T12:27:28.018+07:00,spark,350.57%,5.071GiB / 7.678GiB,66.04%
2026-08-18T12:27:28.018+07:00,postgres,17.28%,57.77MiB / 7.678GiB,0.73%
2026-08-18T12:27:28.018+07:00,kafka,4.11%,990.8MiB / 7.678GiB,12.60%
2026-08-18T12:27:31.262+07:00,spark,141.42%,5.074GiB / 7.678GiB,66.08%
2026-08-18T12:27:31.262+07:00,postgres,2.93%,60.27MiB / 7.678GiB,0.77%
2026-08-18T12:27:31.262+07:00,kafka,5.78%,991.1MiB / 7.678GiB,12.60%
2026-08-18T12:27:34.338+07:00,spark,320.95%,5.075GiB / 7.678GiB,66.09%
2026-08-18T12:27:34.338+07:00,postgres,4.32%,58.25MiB / 7.678GiB,0.74%
2026-08-18T12:27:34.338+07:00,kafka,4.97%,991.1MiB / 7.678GiB,12.60%
2026-08-18T12:27:39.066+07:00,spark,587.03%,5.073GiB / 7.678GiB,66.07%
2026-08-18T12:27:39.066+07:00,postgres,79.99%,62.36MiB / 7.678GiB,0.79%
2026-08-18T12:27:39.066+07:00,kafka,56.79%,991.1MiB / 7.678GiB,12.60%
2026-08-18T12:27:42.829+07:00,spark,231.99%,5.073GiB / 7.678GiB,66.07%
2026-08-18T12:27:42.829+07:00,postgres,0.02%,58.07MiB / 7.678GiB,0.74%
2026-08-18T12:27:42.829+07:00,kafka,9.48%,991MiB / 7.678GiB,12.60%
2026-08-18T12:27:46.051+07:00,spark,288.28%,5.075GiB / 7.678GiB,66.10%
2026-08-18T12:27:46.051+07:00,postgres,5.21%,58.03MiB / 7.678GiB,0.74%
2026-08-18T12:27:46.051+07:00,kafka,6.08%,991MiB / 7.678GiB,12.60%
2026-08-18T12:27:49.260+07:00,spark,581.57%,5.076GiB / 7.678GiB,66.11%
2026-08-18T12:27:49.260+07:00,postgres,0.02%,58.03MiB / 7.678GiB,0.74%
2026-08-18T12:27:49.260+07:00,kafka,19.99%,991MiB / 7.678GiB,12.60%
2026-08-18T12:27:53.000+07:00,spark,507.69%,5.075GiB / 7.678GiB,66.09%
2026-08-18T12:27:53.000+07:00,postgres,0.00%,58.2MiB / 7.678GiB,0.74%
2026-08-18T12:27:53.000+07:00,kafka,2.76%,991MiB / 7.678GiB,12.60%
2026-08-18T12:27:56.209+07:00,spark,123.91%,5.076GiB / 7.678GiB,66.10%
2026-08-18T12:27:56.209+07:00,postgres,4.95%,60.58MiB / 7.678GiB,0.77%
2026-08-18T12:27:56.209+07:00,kafka,9.39%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:27:59.280+07:00,spark,365.84%,5.076GiB / 7.678GiB,66.11%
2026-08-18T12:27:59.280+07:00,postgres,0.00%,58.14MiB / 7.678GiB,0.74%
2026-08-18T12:27:59.280+07:00,kafka,5.68%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:28:02.830+07:00,spark,283.50%,5.076GiB / 7.678GiB,66.10%
2026-08-18T12:28:02.830+07:00,postgres,2.59%,58.05MiB / 7.678GiB,0.74%
2026-08-18T12:28:02.830+07:00,kafka,4.23%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:28:06.175+07:00,spark,170.21%,5.076GiB / 7.678GiB,66.10%
2026-08-18T12:28:06.175+07:00,postgres,7.62%,57.97MiB / 7.678GiB,0.74%
2026-08-18T12:28:06.175+07:00,kafka,6.89%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:28:09.231+07:00,spark,409.33%,5.077GiB / 7.678GiB,66.11%
2026-08-18T12:28:09.231+07:00,postgres,2.19%,60.48MiB / 7.678GiB,0.77%
2026-08-18T12:28:09.231+07:00,kafka,5.97%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:28:12.678+07:00,spark,338.00%,5.076GiB / 7.678GiB,66.11%
2026-08-18T12:28:12.678+07:00,postgres,0.00%,58.14MiB / 7.678GiB,0.74%
2026-08-18T12:28:12.678+07:00,kafka,10.94%,992.3MiB / 7.678GiB,12.62%
2026-08-18T12:28:15.987+07:00,spark,185.31%,5.075GiB / 7.678GiB,66.10%
2026-08-18T12:28:15.987+07:00,postgres,0.04%,58.11MiB / 7.678GiB,0.74%
2026-08-18T12:28:15.987+07:00,kafka,6.35%,991.3MiB / 7.678GiB,12.61%
2026-08-18T12:28:19.101+07:00,spark,406.60%,5.076GiB / 7.678GiB,66.11%
2026-08-18T12:28:19.101+07:00,postgres,10.06%,58.28MiB / 7.678GiB,0.74%
2026-08-18T12:28:19.101+07:00,kafka,5.71%,991.3MiB / 7.678GiB,12.61%
2026-08-18T12:28:22.341+07:00,spark,88.90%,5.076GiB / 7.678GiB,66.11%
2026-08-18T12:28:22.341+07:00,postgres,1.51%,60.46MiB / 7.678GiB,0.77%
2026-08-18T12:28:22.341+07:00,kafka,3.10%,991.3MiB / 7.678GiB,12.61%
