timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-24T14:27:13.490+07:00,spark,323.76%,3.258GiB / 7.678GiB,42.44%
2026-08-24T14:27:13.490+07:00,postgres,26.44%,137.8MiB / 7.678GiB,1.75%
2026-08-24T14:27:16.744+07:00,kafka,14.68%,877.2MiB / 7.678GiB,11.16%
2026-08-24T14:27:16.744+07:00,spark,381.96%,3.294GiB / 7.678GiB,42.90%
2026-08-24T14:27:16.744+07:00,postgres,0.00%,137.8MiB / 7.678GiB,1.75%
2026-08-24T14:27:20.015+07:00,kafka,20.18%,877.4MiB / 7.678GiB,11.16%
2026-08-24T14:27:20.015+07:00,spark,372.27%,3.351GiB / 7.678GiB,43.64%
2026-08-24T14:27:20.015+07:00,postgres,0.00%,138.1MiB / 7.678GiB,1.76%
2026-08-24T14:27:23.061+07:00,kafka,20.78%,877.6MiB / 7.678GiB,11.16%
2026-08-24T14:27:23.061+07:00,spark,359.81%,3.386GiB / 7.678GiB,44.10%
2026-08-24T14:27:23.061+07:00,postgres,0.00%,138.1MiB / 7.678GiB,1.76%
2026-08-24T14:27:26.278+07:00,kafka,19.43%,878.2MiB / 7.678GiB,11.17%
2026-08-24T14:27:26.278+07:00,spark,342.38%,3.399GiB / 7.678GiB,44.27%
2026-08-24T14:27:26.278+07:00,postgres,0.00%,138.2MiB / 7.678GiB,1.76%
2026-08-24T14:27:29.557+07:00,kafka,19.37%,878.2MiB / 7.678GiB,11.17%
2026-08-24T14:27:29.557+07:00,spark,333.31%,3.479GiB / 7.678GiB,45.31%
2026-08-24T14:27:29.557+07:00,postgres,0.00%,138.2MiB / 7.678GiB,1.76%
2026-08-24T14:27:32.603+07:00,kafka,21.24%,878.4MiB / 7.678GiB,11.17%
2026-08-24T14:27:32.603+07:00,spark,354.72%,3.533GiB / 7.678GiB,46.01%
2026-08-24T14:27:32.603+07:00,postgres,0.01%,138MiB / 7.678GiB,1.76%
2026-08-24T14:27:35.647+07:00,kafka,25.92%,878.3MiB / 7.678GiB,11.17%
2026-08-24T14:27:35.647+07:00,spark,357.38%,3.659GiB / 7.678GiB,47.65%
2026-08-24T14:27:35.647+07:00,postgres,0.00%,137.9MiB / 7.678GiB,1.75%
2026-08-24T14:27:38.932+07:00,kafka,26.01%,878.3MiB / 7.678GiB,11.17%
2026-08-24T14:27:38.932+07:00,spark,346.32%,3.72GiB / 7.678GiB,48.44%
2026-08-24T14:27:38.932+07:00,postgres,0.00%,137.9MiB / 7.678GiB,1.75%
