timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-24T11:04:52.576+07:00,spark,375.34%,2.874GiB / 7.678GiB,37.43%
2026-08-24T11:04:52.576+07:00,postgres,0.00%,134.1MiB / 7.678GiB,1.70%
2026-08-24T11:04:55.846+07:00,kafka,20.51%,1.069GiB / 7.678GiB,13.92%
2026-08-24T11:04:55.846+07:00,spark,328.61%,2.888GiB / 7.678GiB,37.62%
2026-08-24T11:04:55.846+07:00,postgres,0.00%,134.1MiB / 7.678GiB,1.70%
2026-08-24T11:04:59.083+07:00,kafka,24.34%,1.069GiB / 7.678GiB,13.92%
2026-08-24T11:04:59.083+07:00,spark,299.26%,2.962GiB / 7.678GiB,38.58%
2026-08-24T11:04:59.083+07:00,postgres,0.00%,133.8MiB / 7.678GiB,1.70%
2026-08-24T11:05:02.157+07:00,kafka,21.48%,1.069GiB / 7.678GiB,13.92%
2026-08-24T11:05:02.157+07:00,spark,334.71%,3.024GiB / 7.678GiB,39.38%
2026-08-24T11:05:02.157+07:00,postgres,23.00%,133.9MiB / 7.678GiB,1.70%
2026-08-24T11:05:05.386+07:00,kafka,27.81%,1.07GiB / 7.678GiB,13.93%
2026-08-24T11:05:05.386+07:00,spark,360.83%,3.073GiB / 7.678GiB,40.03%
2026-08-24T11:05:05.386+07:00,postgres,2.47%,133.7MiB / 7.678GiB,1.70%
2026-08-24T11:05:08.669+07:00,kafka,33.19%,1.07GiB / 7.678GiB,13.94%
2026-08-24T11:05:08.669+07:00,spark,259.42%,3.143GiB / 7.678GiB,40.94%
2026-08-24T11:05:08.669+07:00,postgres,26.16%,133.8MiB / 7.678GiB,1.70%
2026-08-24T11:05:11.728+07:00,kafka,29.56%,1.07GiB / 7.678GiB,13.94%
2026-08-24T11:05:11.728+07:00,spark,364.41%,3.285GiB / 7.678GiB,42.78%
2026-08-24T11:05:11.728+07:00,postgres,0.00%,133.8MiB / 7.678GiB,1.70%
2026-08-24T11:05:15.069+07:00,kafka,31.13%,1.07GiB / 7.678GiB,13.93%
2026-08-24T11:05:15.069+07:00,spark,348.04%,3.336GiB / 7.678GiB,43.45%
2026-08-24T11:05:15.069+07:00,postgres,0.00%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:05:18.301+07:00,kafka,26.87%,1.07GiB / 7.678GiB,13.94%
2026-08-24T11:05:18.301+07:00,spark,312.18%,3.404GiB / 7.678GiB,44.33%
2026-08-24T11:05:18.301+07:00,postgres,0.00%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:05:21.358+07:00,kafka,28.61%,1.07GiB / 7.678GiB,13.94%
2026-08-24T11:05:21.358+07:00,spark,363.94%,3.464GiB / 7.678GiB,45.11%
2026-08-24T11:05:21.358+07:00,postgres,0.00%,134MiB / 7.678GiB,1.70%
2026-08-24T11:05:24.583+07:00,kafka,17.95%,1.071GiB / 7.678GiB,13.95%
2026-08-24T11:05:24.583+07:00,spark,367.29%,3.526GiB / 7.678GiB,45.92%
2026-08-24T11:05:24.583+07:00,postgres,17.13%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:05:27.822+07:00,kafka,20.28%,1.072GiB / 7.678GiB,13.96%
2026-08-24T11:05:27.822+07:00,spark,355.92%,3.593GiB / 7.678GiB,46.80%
2026-08-24T11:05:27.822+07:00,postgres,0.00%,133.9MiB / 7.678GiB,1.70%
2026-08-24T11:05:30.883+07:00,kafka,18.11%,1.072GiB / 7.678GiB,13.96%
2026-08-24T11:05:30.883+07:00,spark,375.10%,3.648GiB / 7.678GiB,47.51%
2026-08-24T11:05:30.883+07:00,postgres,0.00%,133.9MiB / 7.678GiB,1.70%
2026-08-24T11:05:34.141+07:00,kafka,16.41%,1.072GiB / 7.678GiB,13.96%
2026-08-24T11:05:34.141+07:00,spark,336.08%,3.701GiB / 7.678GiB,48.20%
