timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-21T15:41:22.343+07:00,kafka,2.38%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:22.343+07:00,spark,351.72%,1.242GiB / 7.678GiB,16.17%
2026-08-21T15:41:22.343+07:00,postgres,27.84%,142.4MiB / 7.678GiB,1.81%
2026-08-21T15:41:25.436+07:00,kafka,16.71%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:25.436+07:00,spark,343.52%,1.338GiB / 7.678GiB,17.42%
2026-08-21T15:41:25.436+07:00,postgres,0.00%,142.4MiB / 7.678GiB,1.81%
2026-08-21T15:41:28.741+07:00,kafka,11.20%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:28.741+07:00,spark,357.20%,1.436GiB / 7.678GiB,18.70%
2026-08-21T15:41:28.741+07:00,postgres,0.00%,143MiB / 7.678GiB,1.82%
2026-08-21T15:41:32.088+07:00,kafka,20.12%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:32.088+07:00,spark,271.01%,1.558GiB / 7.678GiB,20.30%
2026-08-21T15:41:32.088+07:00,postgres,17.17%,143MiB / 7.678GiB,1.82%
2026-08-21T15:41:35.209+07:00,kafka,22.68%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:35.209+07:00,spark,355.16%,1.615GiB / 7.678GiB,21.03%
2026-08-21T15:41:35.209+07:00,postgres,0.00%,142.8MiB / 7.678GiB,1.82%
2026-08-21T15:41:38.590+07:00,kafka,19.26%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:38.590+07:00,spark,353.76%,1.673GiB / 7.678GiB,21.79%
2026-08-21T15:41:38.590+07:00,postgres,38.86%,146.1MiB / 7.678GiB,1.86%
2026-08-21T15:41:41.898+07:00,kafka,20.95%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:41.898+07:00,spark,326.74%,1.741GiB / 7.678GiB,22.67%
2026-08-21T15:41:41.898+07:00,postgres,0.01%,142.5MiB / 7.678GiB,1.81%
2026-08-21T15:41:44.984+07:00,kafka,24.44%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:44.984+07:00,spark,355.30%,1.796GiB / 7.678GiB,23.38%
2026-08-21T15:41:44.984+07:00,postgres,0.00%,142.6MiB / 7.678GiB,1.81%
2026-08-21T15:41:48.300+07:00,kafka,17.72%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:48.300+07:00,spark,330.89%,1.854GiB / 7.678GiB,24.15%
2026-08-21T15:41:48.300+07:00,postgres,0.00%,142.7MiB / 7.678GiB,1.81%
2026-08-21T15:41:51.685+07:00,kafka,18.61%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:51.685+07:00,spark,322.24%,1.935GiB / 7.678GiB,25.20%
2026-08-21T15:41:51.685+07:00,postgres,0.00%,142.9MiB / 7.678GiB,1.82%
2026-08-21T15:41:54.820+07:00,kafka,21.89%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:54.820+07:00,spark,290.66%,1.999GiB / 7.678GiB,26.03%
2026-08-21T15:41:54.820+07:00,postgres,32.71%,142.9MiB / 7.678GiB,1.82%
2026-08-21T15:41:57.879+07:00,kafka,24.51%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:41:57.879+07:00,spark,352.74%,2.063GiB / 7.678GiB,26.87%
2026-08-21T15:41:57.879+07:00,postgres,0.01%,142.9MiB / 7.678GiB,1.82%
2026-08-21T15:42:01.193+07:00,kafka,14.64%,1001MiB / 7.678GiB,12.74%
2026-08-21T15:42:01.193+07:00,spark,360.70%,2.114GiB / 7.678GiB,27.53%
2026-08-21T15:42:01.193+07:00,postgres,38.18%,142.7MiB / 7.678GiB,1.81%
2026-08-21T15:42:04.246+07:00,kafka,21.71%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:42:04.246+07:00,spark,334.69%,2.159GiB / 7.678GiB,28.12%
2026-08-21T15:42:04.246+07:00,postgres,0.00%,142.7MiB / 7.678GiB,1.81%
2026-08-21T15:42:07.299+07:00,kafka,23.09%,1001MiB / 7.678GiB,12.73%
2026-08-21T15:42:07.299+07:00,spark,359.15%,2.245GiB / 7.678GiB,29.24%
2026-08-21T15:42:07.299+07:00,postgres,0.01%,142.7MiB / 7.678GiB,1.82%
2026-08-21T15:42:10.779+07:00,kafka,19.17%,1001MiB / 7.678GiB,12.73%
